Collector,IP Address,Device Ip Numeric,Network View,Device Name,Type,Vendor,Model,Device Assurance,Site (Devices),Supervisor (Devices),IsInactive (Devices),IsForTesting (Devices)
phx-netmri-1,10.9.0.11,168361995,Salesforce_IT,sfo3-axs-11,Switch-Router,Cisco,cat4510rpluse,99,,VS-S720-10G,,
phx-netmri-1,10.9.0.253,168362237,Salesforce_IT,sfo3-dst-a,Switch-Router,Cisco,C9500-24Q,99,,VS-SUP2T-10G,,
phx-netmri-1,10.9.0.28,168362012,Salesforce_IT,sfo3-axs-28,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.9.0.29,168362013,Salesforce_IT,sfo3-axs-29,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.9.0.30,168362014,Salesforce_IT,sfo3-axs-30,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.9.0.32,168362016,Salesforce_IT,sfo3-axs-32,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.9.0.33,168362017,Salesforce_IT,sfo3-axs-33,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.9.0.34,168362018,Salesforce_IT,sfo3-axs-34,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.9.0.27,168362011,Salesforce_IT,sfo3-axs-27,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.9.0.4,168361988,Salesforce_IT,sfo3-axs-4,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.9.0.3,168361987,Salesforce_IT,sfo3-axs-3,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.9.0.5,168361989,Salesforce_IT,sfo3-axs-5,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.9.0.6,168361990,Salesforce_IT,sfo3-axs-6,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.9.0.7,168361991,Salesforce_IT,sfo3-axs-7,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.9.0.12,168361996,Salesforce_IT,sfo3-axs-12,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.85.0.244,173342964,Salesforce_IT,tor1-axs-3,Switch-Router,Cisco,Cat9410R,99,,WS-SUP32-GE-3B,,
phx-netmri-1,10.85.0.247,173342967,Salesforce_IT,tor1-axs-4,Switch-Router,Cisco,Cat9410R,99,,WS-SUP32-GE-3B,,
phx-netmri-1,10.85.0.246,173342966,Salesforce_IT,tor1-axs-5,Switch-Router,Cisco,Cat9410R,99,,WS-SUP32-GE-3B,,
phx-netmri-1,10.85.0.243,173342963,Salesforce_IT,tor1-axs-6,Switch-Router,Cisco,Cat9410R,99,,WS-SUP32-GE-3B,,
phx-netmri-1,10.128.0.248,176161016,Salesforce_IT,dub-axs-a,Switch-Router,Cisco,cat4510rpluse,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.128.100.2,176186370,Salesforce_IT,dub-axs-b,Switch,Cisco,WS-C3850-12X48U-S,99,,,,
phx-netmri-1,10.128.0.247,176161015,Salesforce_IT,dub-axs-0,Switch-Router,Cisco,cat4510rpluse,99,,VS-S720-10G,,
phx-netmri-1,10.128.0.244,176161012,Salesforce_IT,dub-axs-1,Switch-Router,Cisco,cat4510rpluse,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.128.0.243,176161011,Salesforce_IT,dub-axs-1b,Switch-Router,Cisco,cat4510rpluse,99,,WS-SUP32-GE-3B,,
phx-netmri-1,10.128.0.253,176161021,Salesforce_IT,dub-dst-a,Switch-Router,Cisco,C9500-40X,99,,WS-SUP720-3B,,
phx-netmri-1,10.128.0.255,176161023,Salesforce_IT,dub-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.136.0.254,176685310,Salesforce_IT,par1-dst-a,Switch-Router,Cisco,C9500-40X,99,,VS-SUP2T-10G,,
phx-netmri-1,10.136.0.240,176685296,Salesforce_IT,par1-axs-0,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.136.0.244,176685300,Salesforce_IT,par1-axs-4,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.136.0.245,176685301,Salesforce_IT,par1-axs-5,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.136.0.255,176685311,Salesforce_IT,par1-ts,Router,Cisco,ISR4331,99,,,,
phx-netmri-1,10.126.64.253,176046333,Salesforce_IT,pdx-dst-a,Switch-Router,Cisco,C9500-40X,99,,VS-SUP2T-10G,,
phx-netmri-1,10.126.64.255,176046335,Salesforce_IT,pdx-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.126.64.1,176046081,Salesforce_IT,pdx-axs-1,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.126.64.4,176046084,Salesforce_IT,pdx-axs-4,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.134.0.253,176554237,Salesforce_IT,lon2-dst-a,Switch-Router,Cisco,C9500-40X,99,,VS-SUP2T-10G,,
phx-netmri-1,10.134.0.4,176553988,Salesforce_IT,lon2-axs-26,Switch-Router,Cisco,Cat9410R,99,,VS-S720-10G,,
phx-netmri-1,10.134.0.255,176554239,Salesforce_IT,lon2-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.134.0.5,176553989,Salesforce_IT,lon2-axs-27,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.194.64.253,180502781,Salesforce_IT,mel1-cdst-a,Switch-Router,Cisco,Cat9410R,99,,VS-SUP2T-10G,,
phx-netmri-1,10.194.64.255,180502783,Salesforce_IT,mel1-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.71.32.253,172433661,Salesforce_IT,bos1-cdst-a,Switch-Router,Cisco,C9500-40X,99,,VS-SUP2T-10G,,
phx-netmri-1,10.71.32.255,172433663,Salesforce_IT,bos1-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.50.0.255,171049215,Salesforce_IT,sjc2-ts,Router,Cisco,2901,99,,,,
phx-netmri-1,10.134.0.28,176554012,Salesforce_IT,lon2-axs-28,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.136.0.239,176685295,Salesforce_IT,par1-axs-b,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.136.0.243,176685299,Salesforce_IT,par1-axs-3,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.136.0.242,176685298,Salesforce_IT,par1-axs-2,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.136.0.241,176685297,Salesforce_IT,par1-axs-1,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.9.0.1,168361985,Salesforce_IT,sfo3-axs-1,Switch-Router,Cisco,WS-C3850-48U-E,99,,,,
phx-netmri-1,10.134.0.29,176554013,Salesforce_IT,lon2-axs-29,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.10.128.2,168460290,Salesforce_IT,gsoc-cdst-a,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.85.0.155,173342875,Salesforce_IT,tor1-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.85.0.153,173342873,Salesforce_IT,tor1-dst-a,Switch-Router,Cisco,C9500-40X,99,,,,True
phx-netmri-1,10.85.0.7,173342727,Salesforce_IT,tor1-axs-7,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.85.5.11,173344011,Salesforce_IT,tor1-wlc-a,Router,Cisco,C9800LFK9,99,,,,
phx-netmri-1,10.150.95.253,177627133,Salesforce_IT,cmn1-cdst-a,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.150.95.249,177627129,Salesforce_IT,cmn1-vgr-a,Router,Cisco,ISR4431,99,,,,
phx-netmri-1,10.150.95.250,177627130,Salesforce_IT,cmn1-vgr-b,Router,Cisco,ISR4431,99,,,,
phx-netmri-1,10.150.95.255,177627135,Salesforce_IT,cmn1-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.134.0.30,176554014,Salesforce_IT,lon2-axs-30,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.134.0.31,176554015,Salesforce_IT,lon2-axs-31,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.136.32.253,176693501,Salesforce_IT,ams1-cdst-a,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.136.32.250,176693498,Salesforce_IT,ams1-axs-9,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,
phx-netmri-1,10.136.32.255,176693503,Salesforce_IT,ams1-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.150.96.253,177627389,Salesforce_IT,txl1-cdst-a,Switch-Router,Cisco,Cat9410R,99,,WS-X45-SUP8-E,,True
phx-netmri-1,10.150.96.250,177627386,Salesforce_IT,txl1-axs-1,Switch,Cisco,C9300-48UXM,99,,,,True
phx-netmri-1,10.150.96.255,177627391,Salesforce_IT,txl1-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.204.128.255,181174527,Salesforce_IT,hyd1-ts,Router,Cisco,ISR4331,99,,,,
phx-netmri-1,10.204.128.249,181174521,Salesforce_IT,hyd1-sbc-a,Router,Cisco,ISR4431,99,,,,
phx-netmri-1,10.204.128.250,181174522,Salesforce_IT,hyd1-sbc-b,Router,Cisco,ISR4431,99,,,,
phx-netmri-1,10.204.128.253,181174525,Salesforce_IT,hyd1-dst-a,Switch-Router,Cisco,C9500-24Q,99,,,,
phx-netmri-1,10.204.128.151,181174423,Salesforce_IT,hyd1-axs-15a,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.204.128.152,181174424,Salesforce_IT,hyd1-axs-15b,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.204.128.153,181174425,Salesforce_IT,hyd1-axs-15c,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.204.128.141,181174413,Salesforce_IT,hyd1-axs-14a,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.204.128.142,181174414,Salesforce_IT,hyd1-axs-14b,Switch-Router,Cisco,WS-C3850-12X48U-S,99,,,,
phx-netmri-1,10.204.128.143,181174415,Salesforce_IT,hyd1-axs-14c,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.204.128.144,181174416,Salesforce_IT,hyd1-axs-14d,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.9.0.42,168362026,Salesforce_IT,sfo3-axs-42,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.91.0.253,173736189,Salesforce_IT,nyc3-dst-a,Switch-Router,Cisco,C9500-40X,99,,,,
phx-netmri-1,10.91.5.11,173737227,Salesforce_IT,nyc3-wlc-a,Router,Cisco,C980040K9,99,,,,
phx-netmri-1,10.91.0.17,173735953,Salesforce_IT,nyc3-axs-17,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.91.0.255,173736191,Salesforce_IT,nyc3-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.18.0.255,168952063,Salesforce_IT,sea1-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.18.0.16,168951824,Salesforce_IT,sea1-axs-16,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.18.0.17,168951825,Salesforce_IT,sea1-axs-17,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.18.0.18,168951826,Salesforce_IT,sea1-axs-18,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.18.0.19,168951827,Salesforce_IT,sea1-axs-19,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.18.0.171,168951979,Salesforce_IT,sea1-axs-16-17,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.18.0.191,168951999,Salesforce_IT,sea1-axs-18-19,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.18.0.253,168952061,Salesforce_IT,sea1-dst-a,Switch-Router,Cisco,C9500-40X,99,,,,
phx-netmri-1,10.136.64.100,176701540,Salesforce_IT,muc2-axs-0,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.136.64.6,176701446,Salesforce_IT,muc2-axs-6-7,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.136.64.8,176701448,Salesforce_IT,muc2-axs-8-9,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.136.64.10,176701450,Salesforce_IT,muc2-axs-10-11,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.136.64.253,176701693,Salesforce_IT,muc2-dst-a,Switch-Router,Cisco,C9500-40X,99,,,,
phx-netmri-1,10.136.64.255,176701695,Salesforce_IT,muc2-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.9.0.23,168362007,Salesforce_IT,sfo3-axs-23,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.204.128.154,181174426,Salesforce_IT,hyd1-axs-devlab,Switch-Router,Cisco,cat4510rpluse,99,,,,
phx-netmri-1,10.30.0.253,169738493,Salesforce_IT,ind4-dst-a,Switch-Router,Cisco,C9500-24Q,99,,,,
phx-netmri-1,10.30.0.255,169738495,Salesforce_IT,ind4-ts,Router,Cisco,ISR4331,99,,,,
phx-netmri-1,10.30.5.11,169739531,Salesforce_IT,ind4-wlc-a,Router,Cisco,C980040K9,99,,,,
phx-netmri-1,10.30.0.1,169738241,Salesforce_IT,ind4-axs-1,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.30.0.20,169738260,Salesforce_IT,ind4-axs-20,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.30.0.21,169738261,Salesforce_IT,ind4-axs-21,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.30.0.23,169738263,Salesforce_IT,ind4-axs-23,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.30.0.24,169738264,Salesforce_IT,ind4-axs-24,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.204.128.121,181174393,Salesforce_IT,hyd1-axs-12a,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.204.128.122,181174394,Salesforce_IT,hyd1-axs-12b,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.204.128.156,181174428,Salesforce_IT,hyd1-axs-15e,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.204.128.155,181174427,Salesforce_IT,hyd1-axs-15d,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.134.0.37,176554021,Salesforce_IT,lon2-axs-37,Switch-Router,Cisco,WS-C3850-12X48U-S,99,,,,
phx-netmri-1,10.73.0.255,172556543,Salesforce_IT,bos2-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.73.0.5,172556293,Salesforce_IT,bos2-axs-5a,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.73.0.51,172556339,Salesforce_IT,bos2-axs-5b,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.73.0.6,172556294,Salesforce_IT,bos2-axs-6,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.73.5.11,172557579,Salesforce_IT,bos2-wlc-a,Router,Cisco,C9800LFK9,99,,,,
phx-netmri-1,10.73.0.253,172556541,Salesforce_IT,bos2-dst-a,Switch-Router,Cisco,C9500-40X,99,,,,
phx-netmri-1,10.30.0.22,169738262,Salesforce_IT,ind4-axs-22,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.30.0.25,169738265,Salesforce_IT,ind4-axs-25,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.9.0.24,168362008,Salesforce_IT,sfo3-axs-24,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.150.0.1,177602561,Salesforce_IT,erf-axs-1,Switch-Router,Cisco,WS-C3850-48P-S,99,,,,
phx-netmri-1,10.150.0.255,177602815,Salesforce_IT,erf-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.150.0.253,177602813,Salesforce_IT,erf-cdst-a,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.136.64.240,176701680,Salesforce_IT,muc2-sic-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.6.0.254,168165630,Salesforce_IT,sfo8-dst-a,Switch-Router,Cisco,C9500-24Q,99,,,,
phx-netmri-1,10.6.0.25,168165401,Salesforce_IT,sfo8-axs-4,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.6.0.21,168165397,Salesforce_IT,sfo8-axs-7,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.6.0.22,168165398,Salesforce_IT,sfo8-axs-8,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.6.0.23,168165399,Salesforce_IT,sfo8-axs-9,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.6.0.24,168165400,Salesforce_IT,sfo8-axs-10,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.6.0.26,168165402,Salesforce_IT,sfo8-axs-1,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.91.0.18,173735954,Salesforce_IT,nyc3-axs-18,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.136.81.130,176705922,Salesforce_IT,muc2-ebc-dst-a,Switch-Router,Cisco,WS-C3850-12X48U-S,99,,,,
phx-netmri-1,10.6.2.11,168165899,Salesforce_IT,sfo8-wlc-a,Router,Cisco,C980040K9,99,,,,
phx-netmri-1,10.134.5.38,176555302,Salesforce_IT,lon2-sic-dst-a,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.134.5.11,176555275,Salesforce_IT,lon2-sic-wlc-a,Router,Cisco,C9800LFK9,99,,,,
